product_id,original_title,cleaned_title,keyword,search_volume,competition,competition_index,similarity_score,overlap_ratio
57190,Air Max Scorpion FK Hiking,Air Max Scorpion FK Hiking,air max scorpion fk hiking,0,UNKNOWN,0.0,0.0,0
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike air max scorpion fk,880,HIGH,100.0,880.0,1.0
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,air max scorpion fk,320,HIGH,99.0,256.0,0.8
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike women's air max scorpion,110,HIGH,99.0,88.0,0.8
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike wmns air max scorpion,110,HIGH,99.0,88.0,0.8
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike scorpion fk,110,HIGH,94.0,66.0,0.6
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike wmns air max scorpion fk,30,HIGH,100.0,30.0,1.0
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike air max scorpion sesame,30,HIGH,95.0,24.0,0.8
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,wmns air max scorpion fk,30,HIGH,100.0,24.0,0.8
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,air max scorpion women,40,HIGH,100.0,24.0,0.6
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike w air max scorpion fk,20,HIGH,80.0,20.0,1.0
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike air max scorpion fk wolf grey,20,HIGH,87.0,20.0,1.0
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike air max scorpion fk black,20,MEDIUM,51.0,20.0,1.0
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike air max scorpion beige,20,HIGH,100.0,16.0,0.8
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,air max scorpion sesame,20,MEDIUM,63.0,12.0,0.6
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,nike scorpion sesame,30,HIGH,100.0,12.0,0.4
53659,Nike Air Max Scorpion FK,Nike Air Max Scorpion FK,scorpion fk,30,MEDIUM,54.0,12.0,0.4
