product_id,original_title,cleaned_title,keyword,search_volume,competition,competition_index,similarity_score,overlap_ratio
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,jordan 4 a ma maniere,33100,HIGH,97.0,33100.0,1.0
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,jordan 4 a ma manieres,33100,HIGH,97.0,22066.666666666664,0.6666666666666666
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,jordan4 a ma maniere,33100,HIGH,97.0,22066.666666666664,0.6666666666666666
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,a ma maniere jordan 4,18100,HIGH,97.0,18100.0,1.0
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,jordan 4 ma maniere,2900,HIGH,97.0,2900.0,1.0
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,a ma maniére jordan 4,2900,HIGH,93.0,1933.3333333333333,0.6666666666666666
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,j4 a ma maniere,2900,HIGH,92.0,1933.3333333333333,0.6666666666666666
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,air jordan 4 a ma maniere,1900,HIGH,97.0,1900.0,1.0
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,ma maniere jordan 4,1600,HIGH,96.0,1600.0,1.0
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,jordan 4 violets,4400,HIGH,99.0,1466.6666666666665,0.3333333333333333
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,a ma maniere 4,1600,HIGH,88.0,1066.6666666666665,0.6666666666666665
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,a maniere jordan 4,1000,HIGH,99.0,666.6666666666666,0.6666666666666666
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,jordan 4 maniere,1000,HIGH,99.0,666.6666666666666,0.6666666666666666
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,aj4 a ma maniere,1000,HIGH,87.0,666.6666666666666,0.6666666666666666
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,a ma maniere 4s,880,HIGH,89.0,586.6666666666666,0.6666666666666666
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,jordan 4 a ma maniere violet ore,480,HIGH,88.0,480.0,1.0
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,retro 4 a ma maniere,590,HIGH,87.0,393.3333333333333,0.6666666666666666
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,jordan a ma maniere 4,390,HIGH,100.0,390.0,1.0
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,jordan retro 4 a ma maniere,390,HIGH,73.0,390.0,1.0
48870,Jordan 4 A Ma Maniere Reps,Jordan 4 A Ma Maniere,jordan 4 a ma maniere on feet,390,MEDIUM,67.0,390.0,1.0
49014,"Travis Scott Air Jordan 1 Low ""White Brown"" Reps","Travis Scott Air Jordan 1 Low ""White Brown""",travis scott air jordan 1 low white brown,50,HIGH,98.0,50.0,1.0
49030,Air Jordan 1 Travis Scott Quality Reps High,Air Jordan 1 Travis Scott Quality High,air jordan 1 travis scott quality high,0,UNKNOWN,0.0,0.0,0
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,unc jordan5,9900,HIGH,92.0,1980.0,0.2
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,jordan 5 university blues,4400,HIGH,93.0,1760.0,0.4
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,jordan 5 retro unc university blue,320,HIGH,100.0,320.0,1.0
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,jordan 5 carolina blue,320,HIGH,93.0,128.0,0.4
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,jordan 5 unc university blue,140,HIGH,94.0,112.0,0.8
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,air jordan 5 retro unc,140,HIGH,100.0,84.0,0.6
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,air jordan 5 unc university blue,50,HIGH,94.0,40.0,0.8
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,air jordan 5 unc blue,40,MEDIUM,41.0,24.0,0.6
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,blue jordan 5 unc,40,HIGH,85.0,24.0,0.6
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,unc jordan 5's,20,MEDIUM,63.0,8.0,0.4
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,unc retro 5s,10,LOW,26.0,4.0,0.4
49073,Jordan 5 Retro UNC University Blue Reps,Jordan 5 Retro UNC University Blue,dv1310 401,320,MEDIUM,64.0,0.0,0.0
